,country,economy_overview
72,Egypt,"Occupying the northeast corner of the African continent, Egypt is bisected by the highly fertile Nile valley, where most economic activity takes place. Egypt's economy was highly centralized during the rule of former President Gamal Abdel NASSER but opened up considerably under former Presidents Anwar EL-SADAT and Mohamed Hosni MUBARAK.Cairo from 2004 to 2008 pursued business climate reforms to attract foreign investment and facilitate growth. Poor living conditions and limited job opportunities for the average Egyptian contribute to public discontent, a major factor leading to the January 2011 revolution that ousted MUBARAK. The uncertain political, security, and policy environment since 2011 caused economic growth to slow significantly, hurting tourism, manufacturing, and other sectors and pushing up unemployment, which remains above 10%.Weak growth and limited foreign exchange earnings have made public finances unsustainable, leaving authorities dependent on expensive borrowing for deficit finance and on Gulf allies to help cover the import bill. In 2015-16, higher levels of foreign investment contributed to a slight rebound in GDP growth after a particularly depressed post-revolution period. In 2016, Cairo enacted a value-added tax, implemented fuel and electricity subsidy cuts, and floated its currency, which led to a sharp depreciation of the pound and corresponding inflation. In November 2016, the IMF approved a $12 billion, three-year loan for Egypt and disbursed the first $2.75 billion tranche."
73,El Salvador,"The smallest country in Central America geographically, El Salvador has the fourth largest economy in the region. With the global recession, real GDP contracted in 2009 and economic growth has since remained low, averaging less than 2% from 2010 to 2014, but recovered somewhat in 2015-16 with an average annual growth rate of 2.4%. Remittances accounted for approximately 17.1% of GDP in 2016 and were received by about a third of all households.In 2006, El Salvador was the first country to ratify the Dominican Republic-Central American Free Trade Agreement, which has bolstered the export of processed foods, sugar, and ethanol, and supported investment in the apparel sector amid increased Asian competition. In September 2015, El Salvador kicked off a five-year $277 million second compact with the Millennium Challenge Corporation - a US Government agency aimed at stimulating economic growth and reducing poverty - to improve El Salvador's competitiveness and productivity in international markets.The Salvadoran Government maintained fiscal discipline during post-war reconstruction and rebuilding following earthquakes in 2001 and hurricanes in 1998 and 2005, but El Salvador's public debt, estimated at 61.1% of GDP in 2016, has been growing over the last several years. Total external debt was nearly 60% of GDP in 2016."
74,Equatorial Guinea,"Exploitation of oil and gas deposits, beginning in the 1990s, has driven economic growth in Equatorial Guinea; a recent rebasing of GDP resulted in an upward revision of the size of the economy by approximately 30%. Forestry and farming are minor components of GDP. Although preindependence Equatorial Guinea counted on cocoa production for hard currency earnings, the neglect of the rural economy since independence has diminished the potential for agriculture-led growth. Subsistence farming is the dominant form of livelihood. Declining revenue from hydrocarbon production, high levels of infrastructure expenditures, lack of economic diversification, and corruption have pushed the economy into decline in recent years and limited improvements in the general population’s living conditions. Equatorial Guinea’s real GDP growth has been weak in recent years, averaging -0.5% per year from 2010 to 2014, because of a declining hydrocarbon sector. Inflation remained very low in 2016, down from an average of 4% in 2014.Foreign assistance programs by the World Bank and the IMF have been cut since 1993 because of corruption and mismanagement, and as a middle income country Equatorial Guinea is now ineligible for most low-income donor funding. The government has been widely criticized for its lack of transparency and misuse of oil revenues and has attempted to address this issue by working toward compliance with the Extractive Industries Transparency Initiative. US foreign assistance to Equatorial Guinea is limited in part because of US restrictions pursuant to the Trafficking Victims Protection Act.Equatorial Guinea hosted two economic diversification symposia in 2014 that focused on attracting investment in five sectors: agriculture and animal ranching, fishing, mining and petrochemicals, tourism, and financial services. Undeveloped mineral resources include gold, zinc, diamonds, columbite-tantalite, and other base metals."
75,Eritrea,"Since formal independence from Ethiopia in 1993, Eritrea has faced many economic problems, including lack of financial resources and chronic drought, which have been exacerbated by restrictive economic policies. Eritrea has a command economy under the control of the sole political party, the People's Front for Democracy and Justice. Like the economies of many African nations, a large share of the population - nearly 80% in Eritrea - is engaged in subsistence agriculture, but the sector only produces a small share of the country's total output.Since the conclusion of the Ethiopia-Eritrea war in 2000, the government has expanded military- and party-owned businesses to complete President ISAIAS's development agenda. The government has strictly controlled the use of foreign currency by limiting access and availability; new regulations in 2013 aimed at relaxing currency controls have had little economic effect. Few large private enterprises exist in Eritrea and most operate in conjunction with government partners, including a number of large international mining ventures, which began production in 2013. In late 2015, the Government of Eritrea introduced a new currency, retaining the name nakfa, and restricted the amount of hard currency individuals could withdraw from banks per month. The changeover has resulted in exchange fluctuations and the scarcity of hard currency available in the market.While reliable statistics on Eritrea are difficult to obtain, erratic rainfall and the percentage of the labor force tied up in national service continue to interfere with agricultural production and economic development. Eritrea's harvests generally cannot meet the food needs of the country without supplemental grain purchases. Copper, potash, and gold production are likely to continue to drive economic growth and government revenue over the next few years, but military spending will continue to compete with development and investment plans."
76,Estonia,"Estonia, a member of the EU since 2004 and the euro zone since 2011, has a modern market-based economy and one of the higher per capita income levels in Central Europe and the Baltic region, but its economy is highly dependent on trade, leaving it vulnerable to external shocks. Estonia's successive governments have pursued a free market, pro-business economic agenda, and sound fiscal policies that have resulted in balanced budgets and low public debt.The economy benefits from strong electronics and telecommunications sectors and strong trade ties with Finland, Sweden, Germany, and Russia. After two years of robust recovery in 2011 and 2012, the Estonian economy faltered in 2013 with only 1.6% GDP growth, mainly due to a continuing recession in much of the EU. GDP growth in 2014 picked up to 2.9% but dropped below 2% in 2015-16 due to lower demand in key Scandinavian and Russian export markets. In 2016, the government implemented modest increases in fiscal spending, which may contribute to GDP growth in 2017.Estonia is challenged by a shortage of labor, both skilled and unskilled, although the government has amended its immigration law to allow easier hiring of highly qualified foreign workers."
77,Ethiopia,"Ethiopia - the second most populous country in Africa - is a one-party state with a planned economy. For more than a decade before 2016, Ethiopia grew at a rate between 8% and 11% annually – one of the fastest growing states among the 188 IMF member countries. This growth was driven by government investment in infrastructure, as well as sustained progress in the agricultural and service sectors. More than 70% of Ethiopia’s population is still employed in the agricultural sector, but services have surpassed agriculture as the principal source of GDP.Ethiopia has the lowest level of income-inequality in Africa and one of the lowest in the world, with a Gini coefficient comparable to that of the Scandinavian countries. Yet despite progress toward eliminating extreme poverty, Ethiopia remains one of the poorest countries in the world, due both to rapid population growth and a low starting base. Changes in rainfall associated with world-wide weather patterns resulted in the worst drought in 30 years in 2015-16, creating food insecurity for millions of Ethiopians.The state is heavily engaged in the economy. Ongoing infrastructure projects include power production and distribution, roads, rails, airports and industrial parks. Key sectors are state-owned, including telecommunications, banking and insurance, and power distribution. Under Ethiopia's constitution, the state owns all land and provides long-term leases to tenants. Title rights in urban areas, particularly Addis Ababa, are poorly regulated, and subject to corruption.Ethiopia’s foreign exchange earnings are led by the services sector - primarily the state-run Ethiopian Airlines - followed by exports of several commodities. While coffee remains the largest foreign exchange earner, Ethiopia is diversifying exports, and commodities such as gold, sesame, khat, livestock and horticulture products are becoming increasingly important. Manufacturing represented less than 8% of total exports in 2016, but manufacturing exports should increase in future years due to a growing international presence.The banking, insurance, telecommunications, and micro-credit industries are restricted to domestic investors, but Ethiopia has attracted roughly $8.5 billion in foreign direct investment, mostly from China, Turkey, India and the EU; US FDI is $567 million. Investment has been primarily in infrastructure, construction, agriculture/horticulture, agricultural processing, textiles, leather and leather products.In the fall of 2015, the government finalized and published the current 2016-20 five-year plan, known as the Growth and Transformation Plan II, which emphasizes developing manufacturing in sectors where Ethiopia has a comparative advantage, such as textiles and garments, leather goods, and processed agricultural products. To support industrialization, Ethiopia plans to increase installed power generation capacity by 8,320 MW, up from a capacity of 2,000 MW, by building three more major dams and expanding to other sources of renewable energy."
78,European Union,"Internally, the 28 EU member states have adopted the framework of a single market with free movement of goods, services and capital. Internationally, the EU aims to bolster Europe's trade position and its political and economic weight.Despite great differences in per capita income among member states (from $13,000 to $82,000) and in national attitudes toward issues like inflation, debt, and foreign trade, the EU has achieved a high degree of coordination of monetary and fiscal policies. A common currency – the euro – circulates among 19 of the member states, under the auspices of the European Economic and Monetary Union (EMU). Eleven member states introduced the euro as their common currency on 1 January 1999 (Greece did so two years later). Since 2004, 13 states acceded to the EU. Of the 13, Slovenia (2007), Cyprus and Malta (2008), Slovakia (2009), Estonia (2011), Latvia (2014), and Lithuania (2015) have adopted the euro; 7 other member states - not including the UK nor Denmark, which have formal opt-outs - are required by EU treaties to adopt the common currency upon meeting fiscal and monetary convergence criteria.The EU economy is still recovering from the 2008-09 global economic crisis and the ensuing sovereign debt crisis in the euro zone in 2011. The bloc posted moderate GDP growth for 2014 through 2016, but the recovery has been uneven. Some EU member states (Czechia, Ireland and Spain) have recorded strong growth while others (Finland, Greece) are struggling to shake off recession. Only Greece remains under an EU rescue program, while Ireland, Portugal, Spain and Cyprus have successfully concluded their agreements. Overall, the EU’s recovery has been buoyed by lower commodities prices and accommodative monetary policy, which has lowered interest rates and the euro’s foreign exchange value. However, significant drags on growth remain, including persistently high unemployment in some member states, high levels of public and private debt loads, lackluster investment, and an aging population. These factors - in combination with low oil prices - have subdued inflation in the euro zone despite the European Central Bank’s (ECB) efforts to spur more lending and investment through its asset-buying program, negative interest rates, and long-term loan refinancing programs. The ECB in December 2016 announced it would extend its bond-buying program through 2017 to underpin the euro-zone economy and bring inflation to its statutory target of just under 2%.Despite its fair performance, the EU economy is vulnerable to a slowdown of global trade and bouts of political and financial turmoil. In June 2016, the UK voted to withdraw from the EU, the first member country ever to attempt to secede. Uncertainty about the timing, scope, and implications of the UK’s exit could hurt consumer and investor confidence and dampen UK and euro-zone growth if trade, investment and demand suffers. Political disagreements between EU members on fiscal and economic policy may impair the EU’s ability to improve its crisis-prevention and resolution mechanisms. Risks also linger of a flareup between Greece and its euro-zone creditors that could be detrimental to a stronger recovery, especially if it damages the euro-zone’s credibility with international investors and sparks renewed fears of a broad dissolution of the single currency area. In addition, portions of the European banking sector, particularly in Italy and Portugal, are still struggling with bad loans, and the potential for mismanagement of ailing banks could lead to localized crises. Externally, the EU’s efforts to expand already large trade and investment flows through ambitious and comprehensive free trade agreements suffered some setbacks in 2016; for example, progress stalled on a US-EU deal and the European Commission’s exclusive competence to negotiate trade deals was curtailed by challenges from member states."
79,Falkland Islands (Islas Malvinas),"The economy was formerly based on agriculture, mainly sheep farming, but fishing and tourism currently comprise the bulk of economic activity. In 1987, the government began selling fishing licenses to foreign trawlers operating within the Falkland Islands' exclusive fishing zone. These license fees net more than $40 million per year, which help support the island's health, education, and welfare system. The waters around the Falkland Islands are known for their squid, which account for around 75% of the annual 200,000-ton catch.Dairy farming supports domestic consumption; crops furnish winter fodder. Foreign exchange earnings come from shipments of high-grade wool to the UK and from the sale of postage stamps and coins. In 2001, the government purchased 100 reindeer with the intent to increase the number to 10,000 over the following 20 years so that venison could be exported to Scandinavia and Chile.Tourism, especially ecotourism, is increasing rapidly, with about 69,000 visitors in 2009. The British military presence also provides a sizable economic boost. The islands are now self-financing except for defense.In 1993, the British Geological Survey announced a 200-mile oil exploration zone around the islands, and early seismic surveys suggest substantial reserves capable of producing 500,000 barrels per day. Political tensions between the UK and Argentina remain high following the start of oil drilling activities in the waters. Although production by a British exploration firm has yet to begin, the firm expects to be able to produce 60,000 barrels per day by 2020."
80,Faroe Islands,"The Faroese economy has experienced a period of significant growth since 2011, due to higher fish prices and increased salmon farming and catches in the pelagic fisheries. Nominal GDP, measured in current prices, grew 8.0% in 2015 and 7.8% in 2016. The fisheries sector accounts for about 97% of exports and half of GDP. Dependence on fishing makes the economy vulnerable to price fluctuations. Unemployment is low, estimated at 2.5% in early 2017. Aided by an annual subsidy from Denmark, which amounts to about 4% of Faroese GDP, Faroese have a standard of living equal to that of Denmark.For the first time in 8 years, the Faroe Islands managed to generate a public budget surplus in 2016, a trend which is continuing in 2017. The local government intends to use this to reduce public debt, which reached 38% of GDP in 2015. Increasing public infrastructure investments are likely to lead to continued growth in the short term, but could contribute to overheating the economy. Signs of overheating led the Danish Central Bank in fall of 2016 to advise the Faroese local government to initiate measures to cool the economy, including postponing spending on infrastructure spending. The local government is planning to allocate part of the expected public surplus to a business-cycle-equalization fund."
81,Fiji,"Fiji, endowed with forest, mineral, and fish resources, is one of the most developed and connected of the Pacific island economies. Earnings from the tourism industry, with an estimated 792,300 tourists visiting in 2016, and remittances from Fijian’s working abroad are the country’s largest foreign exchange earners.Fiji's sugar sector remains a significant industry and a major export, but crops and one of the sugar mills suffered damage during Cyclone Winston in 2016. The sector also faces the complete withdrawal of European Union preferential prices in 2017. Fiji’s trade imbalance continues to widen with increased imports and sluggish performance of domestic exports.The return to parliamentary democracy and successful elections in September 2014 improved investor confidence, but increasing bureaucratic regulation, new taxes and lack of consultation with relevant stakeholders brought four consecutive years of decline for Fiji on the World Bank Ease of Doing Business index. Private sector investment in 2016 exceeded 20% of GDP, compared to 13% in 2013."
82,Finland,"Finland has a highly industrialized, largely free-market economy with per capita GDP almost as high as that of Austria and the Netherlands and slightly above that of Germany and Belgium. Trade is important, with exports accounting for over one-third of GDP in recent years. The government is open to, and actively takes steps to attract, foreign direct investment.Finland is historically competitive in manufacturing - principally the wood, metals, engineering, telecommunications, and electronics industries. Finland excels in export of technology as well as promotion of startups in the information and communications technology, gaming, cleantech, and biotechnology sectors. Except for timber and several minerals, Finland depends on imports of raw materials, energy, and some components for manufactured goods. Because of the cold climate, agricultural development is limited to maintaining self-sufficiency in basic products. Forestry, an important export industry, provides a secondary occupation for the rural population.Finland had been one of the best performing economies within the EU before 2009 and its banks and financial markets avoided the worst of global financial crisis. However, the world slowdown hit exports and domestic demand hard in that year, causing Finland’s economy to contract from 2012 to 2014. The recession affected general government finances and the debt ratio. The economy returned to growth in 2015, posting a 0.3% GDP increase before growing 1.4% in 2016.Finland's main challenges will be reducing high labor costs and boosting demand for its exports. In June 2016, the government enacted a Competitiveness Pact aimed at reducing labor costs, increasing hours worked, and introducing more flexibility into the wage bargaining system. The Government was also seeking to reform the health care system and social services. In the long term, Finland must address a rapidly aging population and decreasing productivity in traditional industries that threaten competitiveness, fiscal sustainability, and economic growth."
83,France,"The French economy is diversified across all sectors. The government has partially or fully privatized many large companies, including Air France, France Telecom, Renault, and Thales. However, the government maintains a strong presence in some sectors, particularly power, public transport, and defense industries. Despite terrorist attacks, labor strikes, and bad weather, France is still the most visited country in the world with 83 million foreign tourists in 2016, including 530,000 who came for the 2016 Euro Cup. France's leaders remain committed to a capitalism in which they maintain social equity by means of laws, tax policies, and social spending that mitigate economic inequality.France's real GDP grew by 1.1% in 2016, down from 1.3% the year before. The unemployment rate (including overseas territories) increased from 7.8% in 2008 to 10.2% in 2015, before slightly falling to 10% in 2016. Youth unemployment in metropolitan France decreased from 24.6% in the fourth quarter of 2014 to 24% in the fourth quarter of 2016.Lower-than-expected growth and high spending have strained France's public finances. Despite measures to restore public finances since President Francois HOLLANDE took office in 2012, the budget deficit rose from 3.3% of GDP in 2008 to 7.5% of GDP in 2009 before improving to 3.4% of GDP in 2016. Meanwhile, France's public debt rose from 89.5% of GDP in 2012 to 96% in 2016.President HOLLANDE’s policies aimed to enhance French industry’s competitiveness and to lower high jobless figures. The Competitiveness and Employment Tax Credit of 2012, the Responsibility and Solidarity Pact of 2014, the Investment Stimulus Plan, and the Emergency Jobs Plan represent more than $42.6 billion in support for businesses in 2017 by lowering French labor costs, but so far the results of these policies have been marginal on France’s competitiveness and job creation. In an effort to bolster social justice, the 2017 budget bill contained provisions to reduce income taxes for households and for small and medium sized enterprises.During his mandate, President HOLLANDE oversaw two highly unpopular economic reforms that led to widespread protests. The “Macron Law” of 2015, enacted to boost economic growth, authorized businesses to open some Sundays of each month and allowed flexibility to negotiate pay and working hours. The “El Khomri law,” imposed by decree in 2016, aimed to make it easier for businesses to employ people and gave employers more leeway to negotiate hours, wages, and time off."
84,French Polynesia,"Since 1962, when France stationed military personnel in the region, French Polynesia has changed from a subsistence agricultural economy to one in which a high proportion of the work force is either employed by the military or supports the tourist industry. With the halt of French nuclear testing in 1996, the military contribution to the economy fell sharply.After growing at an average yearly rate of 4.2% from 1997-2007, the economic and financial crisis in 2008 marked French Polynesia’s entry into recession. However, since 2014, French Polynesia has shown signs of recovery. Business turnover reached 1.8% year-on-year in September 2016, tourism increased 1.8% in 2015, and GDP grew 2.0% in 2015.French Polynesia’s tourism-dominated service sector accounted for 85% of total value added for the economy in 2012. Tourism employs 17% of the workforce. Pearl farming is the second biggest industry, accounting for 54% of exports in 2015; however, the output has decreased to 12.5 tons – the lowest level since 2008. A small manufacturing sector predominantly processes commodities from French Polynesia’s primary sector - 8% of total economy in 2012 - including agriculture and fishing.France has agreed to finance infrastructure, marine businesses, and cultural and ecological sites at roughly $80 million per year between 2015 and 2020. Japan, the US, and China are French Polynesia’s three largest trade partners."
85,French Southern and Antarctic Lands,"Economic activity is limited to servicing meteorological and geophysical research stations, military bases, and French and other fishing fleets. The fish catches landed on Iles Kerguelen by foreign ships are exported to France and Reunion."
86,Gabon,"Gabon enjoys a per capita income four times that of most sub-Saharan African nations, but because of high income inequality, a large proportion of the population remains poor. Gabon relied on timber and manganese exports until oil was discovered offshore in the early 1970s. From 2010 to 2016, oil accounted for approximately 80% of Gabon’s exports, 45% of its GDP, and 60% of its state budget revenues.Gabon faces fluctuating prices for its oil, timber, and manganese exports. A rebound of oil prices from 2001 to 2013 helped growth, but declining production, as some fields passed their peak production, has hampered Gabon from fully realizing potential gains. GDP grew nearly 6% per year over the 2010-14 period, but slowed significantly in 2015 as oil prices declined. Low oil prices also weakened government revenue and negatively affected the trade and current account balances.Despite an abundance of natural wealth, poor fiscal management and over-reliance on oil has stifled the economy. Power cuts and water shortages are frequent. Significant cuts in budget expenditures - Gabon’s budget has contracted for four years in a row - have not extended to the government’s priority projects, like a new stadium for the Africa Cup of Nations."
87,"Gambia, The","The government has invested in the agriculture sector because three-quarters of the population depends on the sector for its livelihood and agriculture provides for about one-third of GDP, making The Gambia largely reliant on sufficient rainfall. The agricultural sector has untapped potential - less than half of arable land is cultivated and agricultural productivity is low. Small-scale manufacturing activity features the processing of cashews, groundnuts, fish, and hides. The Gambia's reexport trade accounts for almost 80% of goods exports and China has been its largest trade partner for both exports and imports for several years.The Gambia has sparse natural resource deposits. It relies heavily on remittances from workers overseas and tourist receipts. Remittance inflows to The Gambia amount to about one-fifth of the country’s GDP. The Gambia's location on the ocean and proximity to Europe has made it one of the most frequented tourist destinations in West Africa, boosted by private sector investments in eco-tourism and facilities. Tourism normally brings in about 20% of GDP, but it suffered in 2014 from tourists’ fears of Ebola virus in neighboring West African countries. Unemployment and underemployment remain high.Economic progress depends on sustained bilateral and multilateral aid, on responsible government economic management, and on continued technical assistance from multilateral and bilateral donors. International donors and lenders were concerned about the quality of fiscal management under the administration of former President Yahya JAMMEH, who reportedly stole hundreds of millions of dollars of the country’s funds during his 22 years in power, but anticipate significant improvements under the new administration of President Adama BARROW, who assumed power in early 2017. As of April 2017, the IMF, the World Bank, the European Union, and the African Development Bank were all negotiating with the new government of The Gambia to provide financial support in the coming months to ease the country’s financial crisis.The country’s GDP contracted in 2016 largely as a result of the limited availability of foreign exchange, weak agricultural output, the border closure with Senegal during the first half of the year, and a slowdown in tourism during the political impasse that occurred at the height of the tourist season. The country faces a large fiscal deficit and a high domestic debt burden that has crowded out private sector investment and driven interest rates to new highs. The new government has committed to taking steps to reduce the deficit, including through expenditure caps, debt consolidation, and reform of state-owned enterprises."
88,Gaza Strip,"Israeli security measures and Israeli-Palestinian violence continue to degrade economic conditions in the Gaza Strip, the smaller of the two areas comprising the Palestinian territories. Israeli-imposed border controls became more restrictive after HAMAS seized control of the territory in June 2007. They have produced high unemployment, elevated poverty rates, and a sharp contraction of the private sector, which had relied primarily on export markets.Egypt’s ongoing crackdown on the Gaza Strip’s extensive tunnel-based smuggling network has exacerbated fuel, construction material, and consumer goods shortages in the territory. The 51-day conflict in July 2014 that HAMAS and other Gaza-based militant groups fought with Israel further depressed the Gaza Strip’s already aid-dependent economy. Donor support for reconstruction and relaxed Israeli import restrictions in 2014 and 2015 have fallen short of postconflict needs, with almost 100,000 people remaining internally displaced because their homes have yet to be rebuilt or repaired."
89,Georgia,"Georgia's main economic activities include cultivation of agricultural products such as grapes, citrus fruits, and hazelnuts; mining of manganese, copper, and gold; and producing alcoholic and nonalcoholic beverages, metals, machinery, and chemicals in small-scale industries. The country imports nearly all of its needed supplies of natural gas and oil products. It has sizeable hydropower capacity that now provides most of its energy needs.Georgia has overcome the chronic energy shortages and gas supply interruptions of the past by renovating hydropower plants and by increasingly relying on natural gas imports from Azerbaijan instead of from Russia. Construction of the Baku-T'bilisi-Ceyhan oil pipeline, the South Caucasus gas pipeline, and the Kars-Akhalkalaki railroad are part of a strategy to capitalize on Georgia's strategic location between Europe and Asia and develop its role as a transit hub for gas, oil, and other goods.Georgia's economy sustained GDP growth of more than 10% in 2006-07, based on strong inflows of foreign investment and robust government spending. However, GDP growth slowed following the August 2008 conflict with Russia, and sunk to negative 4% in 2009 as foreign direct investment and workers' remittances declined in the wake of the global financial crisis. The economy rebounded in the period 2010-16, but FDI inflows, the engine of Georgian economic growth prior to the 2008 conflict, have not recovered fully. Unemployment has also remained high.The country is pinning its hopes for renewed growth on a continued effort to liberalize the economy by reducing regulation, taxes, and corruption in order to attract foreign investment, with a focus on hydropower, agriculture, tourism, and textiles production. Georgia has historically suffered from a chronic failure to collect tax revenues; however, since 2004 the government has simplified the tax code, increased tax enforcement, and cracked down on petty corruption, leading to higher revenues. Georgia plans to improve the domestic investment environment through a four-year economic plan targeting the tax system, educational standards, infrastructure, and governance. The government has received high marks from the World Bank for improvements in business transparency. Since 2012, the Georgian Dream-led government has continued the previous administration's low-regulation, low-tax, free market policies, while modestly increasing social spending, strengthening anti-trust policy, and amending the labor code to comply with International Labor Standards. In mid-2014, Georgia signed an association agreement with the EU, paving the way to free trade and visa-free travel. Georgia is also seeking to expand trade with China, concluding substantive negotiations on a trade agreement in October 2016."
90,Germany,"The German economy - the fifth largest economy in the world in PPP terms and Europe's largest - is a leading exporter of machinery, vehicles, chemicals, and household equipment and benefits from a highly skilled labor force. Like its Western European neighbors, Germany faces significant demographic challenges to sustained long-term growth. Low fertility rates and a large increase in net immigration are increasing pressure on the country's social welfare system and necessitate structural reforms.Reforms launched by the government of Chancellor Gerhard SCHROEDER (1998-2005), deemed necessary to address chronically high unemployment and low average growth, contributed to strong growth and falling unemployment. These advances, as well as a government subsidized, reduced working hour scheme, help explain the relatively modest increase in unemployment during the 2008-09 recession - the deepest since World War II. The German Government introduced a minimum wage in 2015 that increased to $9.79 (8.84 euros) in January 2017.Stimulus and stabilization efforts initiated in 2008 and 2009 and tax cuts introduced in Chancellor Angela MERKEL's second term increased Germany's total budget deficit - including federal, state, and municipal - to 4.1% in 2010, but slower spending and higher tax revenues reduced the deficit to 0.8% in 2011 and in 2016 Germany reached a budget surplus of 0.6%. A constitutional amendment approved in 2009 limits the federal government to structural deficits of no more than 0.35% of GDP per annum as of 2016, though the target was already reached in 2012.The German economy suffers from low levels of investment, and a government plan to invest 15 billion euros during 2016-18, largely in infrastructure, is intended to spur needed private investment. Following the March 2011 Fukushima nuclear disaster, Chancellor Angela MERKEL announced in May 2011 that eight of the country's 17 nuclear reactors would be shut down immediately and the remaining plants would close by 2022. Germany plans to replace nuclear power largely with renewable energy, which accounted for 29.5% of gross electricity consumption in 2016, up from 9% in 2000. Before the shutdown of the eight reactors, Germany relied on nuclear power for 23% of its electricity generating capacity and 46% of its base-load electricity production. Domestic consumption, bolstered by low energy prices and a weak euro, and exports are likely to drive German GDP growth again in 2017."
91,Ghana,"Ghana has a market-based economy with relatively few policy barriers to trade and investment in comparison with other countries in the region, and Ghana is well-endowed with natural resources. Ghana's economy was strengthened by a quarter century of relatively sound management, a competitive business environment, and sustained reductions in poverty levels, but in recent years has suffered the consequences of loose fiscal policy, high budget and current account deficits, and a depreciating currency.Agriculture accounts for about 20% of GDP and employs more than half of the workforce, mainly small landholders. Gold and cocoa exports, and individual remittances, are major sources of foreign exchange. Expansion of Ghana’s nascent oil industry has boosted economic growth, but the fall in oil prices since 2015 reduced by half Ghana’s oil revenue. Production at Jubilee, Ghana's offshore oilfield, began in mid-December 2010. The country’s first gas processing plant at Atubao is also producing natural gas from the Jubilee field, providing power to several of Ghana’s thermal power plants.As of 2016, key economic concerns facing the government include the lack of reliable electricity and the high debt burden, even amid strong GDP growth. While the MAHAMA administration attempted to ameliorate these concerns, little progress has been made, leaving much work to be done in 2017 by the incoming AKUFO-ADDO administration. Ghana signed a $920 million extended credit facility with the IMF in April 2015 to help it address its growing economic crisis. The IMF fiscal targets require Ghana to reduce the deficit by cutting subsidies, decreasing the bloated public sector wage bill, strengthening revenue administration, and boosting tax revenues. Priorities for the new administration include rescheduling some of Ghana’s $31 billion debt, stimulating economic growth, reducing inflation, and stabilizing the currency. Prospects for new oil and gas production, potentially higher global gold prices, and followthrough on tighter fiscal management are likely to help Ghana’s economy in 2017."
92,Gibraltar,"Self-sufficient Gibraltar benefits from an extensive shipping trade, offshore banking, and its position as an international conference center. Tax rates are low to attract foreign investment. The British military presence has been sharply reduced and now contributes about 7% to the local economy, compared with 60% in 1984. In recent years, Gibraltar has seen major structural change from a public to a private sector economy, but changes in government spending still have a major impact on the level of employment.The financial sector, tourism (over 11 million visitors in 2012), gaming revenues, shipping services fees, and duties on consumer goods also generate revenue. The financial sector, tourism, and the shipping sector contribute 30%, 30%, and 25%, respectively, of GDP. Telecommunications, e-commerce, and e-gaming account for the remaining 15%."
